timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2018/10/21 17:29:37.423, [Not Supported], 0 %, 0 %
2018/10/21 17:29:38.424, [Not Supported], 5 %, 2 %
2018/10/21 17:29:39.424, [Not Supported], 7 %, 2 %
2018/10/21 17:29:40.425, [Not Supported], 6 %, 1 %
2018/10/21 17:29:41.425, [Not Supported], 11 %, 3 %
2018/10/21 17:29:42.426, [Not Supported], 8 %, 2 %
2018/10/21 17:29:43.427, [Not Supported], 10 %, 4 %
2018/10/21 17:29:44.428, [Not Supported], 20 %, 10 %
2018/10/21 17:29:45.429, [Not Supported], 10 %, 5 %
2018/10/21 17:29:46.429, [Not Supported], 20 %, 8 %
2018/10/21 17:29:47.430, [Not Supported], 18 %, 7 %
2018/10/21 17:29:48.430, [Not Supported], 8 %, 3 %
2018/10/21 17:29:49.431, [Not Supported], 2 %, 1 %
2018/10/21 17:29:50.432, [Not Supported], 4 %, 1 %
2018/10/21 17:29:51.432, [Not Supported], 3 %, 0 %
2018/10/21 17:29:52.433, [Not Supported], 0 %, 0 %
2018/10/21 17:29:53.434, [Not Supported], 6 %, 2 %
2018/10/21 17:29:54.434, [Not Supported], 7 %, 1 %
2018/10/21 17:29:55.435, [Not Supported], 3 %, 1 %
2018/10/21 17:29:56.435, [Not Supported], 5 %, 1 %
2018/10/21 17:29:57.436, [Not Supported], 0 %, 0 %
2018/10/21 17:29:58.436, [Not Supported], 0 %, 0 %
2018/10/21 17:29:59.437, [Not Supported], 0 %, 0 %
2018/10/21 17:30:00.438, [Not Supported], 0 %, 0 %
2018/10/21 17:30:01.439, [Not Supported], 5 %, 1 %
2018/10/21 17:30:02.439, [Not Supported], 19 %, 9 %
2018/10/21 17:30:03.440, [Not Supported], 2 %, 1 %
2018/10/21 17:30:04.441, [Not Supported], 8 %, 2 %
2018/10/21 17:30:05.441, [Not Supported], 15 %, 6 %
2018/10/21 17:30:06.442, [Not Supported], 6 %, 1 %
2018/10/21 17:30:07.443, [Not Supported], 0 %, 0 %
2018/10/21 17:30:08.444, [Not Supported], 9 %, 3 %
2018/10/21 17:30:09.445, [Not Supported], 7 %, 2 %
2018/10/21 17:30:10.445, [Not Supported], 2 %, 1 %
2018/10/21 17:30:11.446, [Not Supported], 6 %, 1 %
2018/10/21 17:30:12.447, [Not Supported], 5 %, 1 %
2018/10/21 17:30:13.447, [Not Supported], 5 %, 1 %
2018/10/21 17:30:14.448, [Not Supported], 5 %, 2 %
2018/10/21 17:30:15.449, [Not Supported], 0 %, 0 %
2018/10/21 17:30:16.449, [Not Supported], 1 %, 1 %
2018/10/21 17:30:17.450, [Not Supported], 0 %, 0 %
2018/10/21 17:30:18.451, [Not Supported], 9 %, 4 %
2018/10/21 17:30:19.451, [Not Supported], 2 %, 1 %
2018/10/21 17:30:20.452, [Not Supported], 2 %, 1 %
2018/10/21 17:30:21.452, [Not Supported], 1 %, 0 %
2018/10/21 17:30:22.453, [Not Supported], 12 %, 6 %
2018/10/21 17:30:23.453, [Not Supported], 6 %, 3 %
2018/10/21 17:30:24.454, [Not Supported], 3 %, 1 %
2018/10/21 17:30:25.455, [Not Supported], 22 %, 15 %
2018/10/21 17:30:26.456, [Not Supported], 18 %, 11 %
2018/10/21 17:30:27.456, [Not Supported], 16 %, 9 %
2018/10/21 17:30:28.457, [Not Supported], 31 %, 21 %
2018/10/21 17:30:29.458, [Not Supported], 2 %, 1 %
2018/10/21 17:30:30.459, [Not Supported], 32 %, 20 %
2018/10/21 17:30:31.460, [Not Supported], 9 %, 3 %
2018/10/21 17:30:32.461, [Not Supported], 35 %, 23 %
2018/10/21 17:30:33.462, [Not Supported], 0 %, 0 %
2018/10/21 17:30:34.463, [Not Supported], 6 %, 4 %
2018/10/21 17:30:35.464, [Not Supported], 0 %, 0 %
2018/10/21 17:30:36.465, [Not Supported], 11 %, 7 %
2018/10/21 17:30:37.466, [Not Supported], 7 %, 4 %
2018/10/21 17:30:38.467, [Not Supported], 0 %, 0 %
2018/10/21 17:30:39.468, [Not Supported], 0 %, 0 %
